Title;
Time;Serial_No;Conc5_TC
27.05.2026 14:03:20;14362;141032.25
27.05.2026 14:03:21;14362;143328.42
27.05.2026 14:03:22;14362;145374.5
27.05.2026 14:03:23;14362;146968.12
27.05.2026 14:03:24;14362;148192.86
27.05.2026 14:03:25;14362;149277.98
27.05.2026 14:03:26;14362;150338.48
27.05.2026 14:03:27;14362;151034.34
27.05.2026 14:03:28;14362;151769.6
27.05.2026 14:03:29;14362;152366.19
27.05.2026 14:03:30;14362;152812.48
27.05.2026 14:03:31;14362;153216.98
27.05.2026 14:03:32;14362;153601.03
27.05.2026 14:03:33;14362;153876.97
27.05.2026 14:03:34;14362;154138.23
27.05.2026 14:03:35;14362;154353.17
27.05.2026 14:03:36;14362;154520.77
27.05.2026 14:03:37;14362;154691.44
27.05.2026 14:03:38;14362;154845.1
27.05.2026 14:03:39;14362;154977.73
27.05.2026 14:03:40;14362;155099.28
27.05.2026 14:03:41;14362;155222.69
27.05.2026 14:03:42;14362;155311.52
27.05.2026 14:03:43;14362;155390.06
27.05.2026 14:03:44;14362;155452.16
27.05.2026 14:03:45;14362;155514.25
27.05.2026 14:03:46;14362;155570.98
27.05.2026 14:03:47;14362;155621.02
27.05.2026 14:03:48;14362;155672.95
27.05.2026 14:03:49;14362;155719.88
27.05.2026 14:03:50;14362;155748.25
27.05.2026 14:03:51;14362;155781.8
27.05.2026 14:03:52;14362;155811.69
27.05.2026 14:03:53;14362;155838
27.05.2026 14:03:54;14362;155861.58
27.05.2026 14:03:55;14362;155886.77
27.05.2026 14:03:56;14362;155907.83
27.05.2026 14:03:57;14362;155926.88
27.05.2026 14:03:58;14362;155947.67
27.05.2026 14:03:59;14362;155965.08
27.05.2026 14:04:00;14362;155980.88
27.05.2026 14:04:01;14362;155999.16
27.05.2026 14:04:02;14362;156013.69
27.05.2026 14:04:03;14362;156026.11
27.05.2026 14:04:04;14362;156039.86
27.05.2026 14:04:05;14362;156051.78
27.05.2026 14:04:06;14362;156063.19
27.05.2026 14:04:07;14362;156074.64
27.05.2026 14:04:08;14362;156084.72
27.05.2026 14:04:09;14362;156094.52
27.05.2026 14:04:10;14362;156106.38
27.05.2026 14:04:11;14362;156117.39
27.05.2026 14:04:12;14362;156127.05
27.05.2026 14:04:13;14362;156138.36
27.05.2026 14:04:14;14362;156145.94
27.05.2026 14:04:15;14362;156152.86
27.05.2026 14:04:16;14362;156161.45
27.05.2026 14:04:17;14362;156168.83
27.05.2026 14:04:18;14362;156173.98
27.05.2026 14:04:19;14362;156182.69
27.05.2026 14:04:20;14362;156191.66
27.05.2026 14:04:21;14362;156198.06
27.05.2026 14:04:22;14362;156201.5
27.05.2026 14:04:23;14362;156206.88
27.05.2026 14:04:24;14362;156213.22
27.05.2026 14:04:25;14362;156216.95
27.05.2026 14:04:26;14362;156224.03
27.05.2026 14:04:27;14362;156231.81
27.05.2026 14:04:28;14362;156234
27.05.2026 14:04:29;14362;156238.14
27.05.2026 14:04:30;14362;156244.66
27.05.2026 14:04:31;14362;156248.39
27.05.2026 14:04:32;14362;156255.3
27.05.2026 14:04:33;14362;156261.75
27.05.2026 14:04:34;14362;156093.69
27.05.2026 14:04:35;14362;151337.17
27.05.2026 14:04:36;14362;153254.8
27.05.2026 14:04:37;14362;154786.02
27.05.2026 14:04:38;14362;155405.92
27.05.2026 14:04:39;14362;155694.12
27.05.2026 14:04:40;14362;155868.97
27.05.2026 14:04:41;14362;155990.28
27.05.2026 14:04:42;14362;156074.25
27.05.2026 14:04:43;14362;156126.44
27.05.2026 14:04:44;14362;156168
27.05.2026 14:04:45;14362;156200.22
27.05.2026 14:04:46;14362;156225.95
27.05.2026 14:04:47;14362;156246.97
27.05.2026 14:04:48;14362;156266.83
27.05.2026 14:04:49;14362;156282.52
27.05.2026 14:04:50;14362;156295.4
27.05.2026 14:04:51;14362;156307.6
27.05.2026 14:04:52;14362;156318.69
27.05.2026 14:04:53;14362;156330.2
27.05.2026 14:04:54;14362;156337.61
27.05.2026 14:04:55;14362;156345.34
27.05.2026 14:04:56;14362;156349.88
27.05.2026 14:04:57;14362;156356.28
27.05.2026 14:04:58;14362;156361.94
27.05.2026 14:04:59;14362;156367.45
27.05.2026 14:05:00;14362;156373.6
27.05.2026 14:05:01;14362;156377.19
27.05.2026 14:05:02;14362;156381.25
27.05.2026 14:05:03;14362;156382
27.05.2026 14:05:04;14362;156383.83
27.05.2026 14:05:05;14362;156386.03
27.05.2026 14:05:06;14362;156388.45
27.05.2026 14:05:07;14362;156391.62
27.05.2026 14:05:08;14362;156395.11
27.05.2026 14:05:09;14362;156396.95
27.05.2026 14:05:10;14362;156400
27.05.2026 14:05:11;14362;156401.08
27.05.2026 14:05:12;14362;156404.73
27.05.2026 14:05:13;14362;156409.9
27.05.2026 14:05:14;14362;156409.36
27.05.2026 14:05:15;14362;156410.98
27.05.2026 14:05:16;14362;156414.75
27.05.2026 14:05:17;14362;156415.58
27.05.2026 14:05:18;14362;156415.22
