Title;
Time;Conc5_TC
26.05.2026 12:00:36;122951.94
26.05.2026 12:00:37;122851.42
26.05.2026 12:00:38;122906.76
26.05.2026 12:00:39;122977.805
26.05.2026 12:00:40;122995.55
26.05.2026 12:00:41;117567.92
26.05.2026 12:00:42;115467.88
26.05.2026 12:00:43;118341.18
26.05.2026 12:00:44;120914.12
26.05.2026 12:00:45;121643.78
26.05.2026 12:00:46;122193.836
26.05.2026 12:00:47;122390.25
26.05.2026 12:00:48;122575.08
26.05.2026 12:00:49;122662.01
26.05.2026 12:00:50;122753.36
26.05.2026 12:00:51;122804.52
26.05.2026 12:00:52;122851.055
26.05.2026 12:00:53;122872.18
26.05.2026 12:00:54;122903.75
26.05.2026 12:00:55;122925.76
26.05.2026 12:00:56;122941.734
26.05.2026 12:00:57;122955.57
26.05.2026 12:00:58;122968.914
26.05.2026 12:00:59;122982.945
26.05.2026 12:01:00;122986.97
26.05.2026 12:01:01;122992.69
26.05.2026 12:01:02;122998.27
26.05.2026 12:01:03;123003.41
26.05.2026 12:01:04;123008.78
26.05.2026 12:01:05;123008.33
26.05.2026 12:01:06;123013.95
26.05.2026 12:01:07;123021.14
26.05.2026 12:01:08;123022.39
26.05.2026 12:01:09;123023.99
26.05.2026 12:01:10;123033.96
26.05.2026 12:01:11;123034.586
26.05.2026 12:01:12;123035.195
26.05.2026 12:01:13;123042.22
26.05.2026 12:01:14;123046.68
26.05.2026 12:01:15;123047.484
26.05.2026 12:01:16;123053.9
26.05.2026 12:01:17;123057.03
26.05.2026 12:01:18;123059.62
26.05.2026 12:01:19;123059.07
26.05.2026 12:01:20;123060.26
26.05.2026 12:01:21;123058.86
26.05.2026 12:01:22;123060.305
26.05.2026 12:01:23;123063.52
26.05.2026 12:01:24;123067.68
26.05.2026 12:01:25;123067.05
26.05.2026 12:01:26;123066.48
26.05.2026 12:01:27;123070.03
26.05.2026 12:01:28;123073.87
26.05.2026 12:01:29;123075.81
