Title;
Time;Serial_No;Conc5_TC
26.05.2026 14:41:55;14362;77247.93
26.05.2026 14:41:56;14362;77836.33
26.05.2026 14:41:57;14362;78449.305
26.05.2026 14:41:58;14362;79073.945
26.05.2026 14:41:59;14362;79637.3
26.05.2026 14:42:00;14362;80140.51
26.05.2026 14:42:01;14362;80722.66
26.05.2026 14:42:03;14362;81333.98
26.05.2026 14:42:03;14362;81875.11
26.05.2026 14:42:04;14362;82297.46
26.05.2026 14:42:05;14362;82627.695
26.05.2026 14:42:06;14362;82886.43
26.05.2026 14:42:07;14362;83134.28
26.05.2026 14:42:08;14362;83365.28
26.05.2026 14:42:09;14362;83612.83
26.05.2026 14:42:10;14362;83901.56
26.05.2026 14:42:11;14362;84289.96
26.05.2026 14:42:12;14362;84730.91
26.05.2026 14:42:13;14362;85052.05
26.05.2026 14:42:14;14362;85285.16
26.05.2026 14:42:15;14362;85824.98
26.05.2026 14:42:16;14362;86292.44
26.05.2026 14:42:17;14362;86461.41
26.05.2026 14:42:18;14362;86563.04
26.05.2026 14:42:19;14362;86666.15
26.05.2026 14:42:20;14362;86823.73
26.05.2026 14:42:21;14362;86948.86
26.05.2026 14:42:22;14362;86987.016
26.05.2026 14:42:23;14362;86969.33
26.05.2026 14:42:24;14362;86920.93
26.05.2026 14:42:25;14362;86848.945
26.05.2026 14:42:26;14362;86814.41
26.05.2026 14:42:27;14362;86814.7
26.05.2026 14:42:28;14362;86838.59
26.05.2026 14:42:29;14362;86944.47
26.05.2026 14:42:30;14362;87005.65
26.05.2026 14:42:31;14362;86990.12
26.05.2026 14:42:32;14362;87104.375
26.05.2026 14:42:33;14362;87368.8
26.05.2026 14:42:34;14362;87579.13
26.05.2026 14:42:35;14362;87760.94
26.05.2026 14:42:36;14362;88004.64
26.05.2026 14:42:37;14362;88289.6
26.05.2026 14:42:38;14362;88465.85
26.05.2026 14:42:39;14362;88526.24
26.05.2026 14:42:40;14362;88431.82
26.05.2026 14:42:41;14362;88490.13
26.05.2026 14:42:42;14362;88844.89
26.05.2026 14:42:43;14362;89646.88
26.05.2026 14:42:44;14362;90396.125
26.05.2026 14:42:45;14362;90878.55
26.05.2026 14:42:46;14362;91565.31
26.05.2026 14:42:47;14362;92133.28
26.05.2026 14:42:48;14362;92466.68
26.05.2026 14:42:49;14362;92857.47
26.05.2026 14:42:50;14362;93114.08
26.05.2026 14:42:51;14362;93253.734
26.05.2026 14:42:53;14362;93502.4
26.05.2026 14:42:53;14362;93718.71
26.05.2026 14:42:54;14362;93787.88
26.05.2026 14:42:55;14362;93018.03
26.05.2026 14:42:56;14362;92347.336
26.05.2026 14:42:57;14362;92008.6
26.05.2026 14:42:58;14362;91828.32
26.05.2026 14:43:00;14362;90839.68
26.05.2026 14:43:00;14362;90500.38
26.05.2026 14:43:01;14362;90937.95
26.05.2026 14:43:02;14362;91405.27
26.05.2026 14:43:03;14362;91685.46
26.05.2026 14:43:04;14362;91842.86
26.05.2026 14:43:05;14362;91944.95
26.05.2026 14:43:06;14362;92011.23
26.05.2026 14:43:07;14362;92089.1
26.05.2026 14:43:08;14362;92140.47
26.05.2026 14:43:09;14362;92097.04
26.05.2026 14:43:10;14362;92145.875
26.05.2026 14:43:11;14362;92343.445
26.05.2026 14:43:12;14362;92603.38
26.05.2026 14:43:13;14362;92770.82
26.05.2026 14:43:14;14362;92807.35
26.05.2026 14:43:15;14362;92765.22
26.05.2026 14:43:16;14362;92666.234
26.05.2026 14:43:17;14362;92654.18
26.05.2026 14:43:18;14362;92672.49
26.05.2026 14:43:19;14362;92665.57
26.05.2026 14:43:20;14362;92749.91
26.05.2026 14:43:21;14362;92916.17
26.05.2026 14:43:22;14362;93022.54
26.05.2026 14:43:23;14362;93021.02
26.05.2026 14:43:24;14362;92954.836
26.05.2026 14:43:25;14362;92901.29
26.05.2026 14:43:26;14362;92886.02
26.05.2026 14:43:27;14362;92892.73
26.05.2026 14:43:28;14362;92934.48
26.05.2026 14:43:29;14362;92949.95
26.05.2026 14:43:30;14362;92895.25
26.05.2026 14:43:31;14362;92735.875
26.05.2026 14:43:32;14362;92468.9
26.05.2026 14:43:33;14362;92162.73
26.05.2026 14:43:34;14362;91725.555
26.05.2026 14:43:35;14362;91684.875
26.05.2026 14:43:36;14362;91897.02
26.05.2026 14:43:37;14362;92021.445
26.05.2026 14:43:38;14362;92073.56
26.05.2026 14:43:39;14362;92352.83
26.05.2026 14:43:40;14362;92794.12
26.05.2026 14:43:41;14362;93114.37
26.05.2026 14:43:42;14362;93299.945
26.05.2026 14:43:43;14362;93442.625
26.05.2026 14:43:44;14362;93660.26
26.05.2026 14:43:45;14362;93812.055
26.05.2026 14:43:47;14362;93877.21
26.05.2026 14:43:47;14362;93832.8
26.05.2026 14:43:49;14362;93694.39
26.05.2026 14:43:49;14362;93434.84
26.05.2026 14:43:50;14362;93010.984
26.05.2026 14:43:51;14362;92652.23
26.05.2026 14:43:52;14362;92427.25
26.05.2026 14:43:53;14362;92403.08
26.05.2026 14:43:54;14362;92492.805
26.05.2026 14:43:55;14362;92611.64
26.05.2026 14:43:56;14362;92721.01
26.05.2026 14:43:57;14362;92886.55
26.05.2026 14:43:58;14362;92986.45
26.05.2026 14:43:59;14362;93006.89
26.05.2026 14:44:00;14362;92970.01
26.05.2026 14:44:01;14362;92844.74
26.05.2026 14:44:02;14362;92673.414
26.05.2026 14:44:03;14362;92554.02
26.05.2026 14:44:04;14362;133431.78
26.05.2026 14:44:05;14362;140661.81
26.05.2026 14:44:06;14362;141216.78
26.05.2026 14:44:07;14362;141268.05
26.05.2026 14:44:08;14362;141279.7
26.05.2026 14:44:09;14362;141287.2
26.05.2026 14:44:10;14362;141294.31
26.05.2026 14:44:11;14362;141300.34
26.05.2026 14:44:12;14362;141306.52
26.05.2026 14:44:13;14362;141312.25
26.05.2026 14:44:14;14362;141319.23
26.05.2026 14:44:15;14362;141323.34
26.05.2026 14:44:16;14362;141328.28
26.05.2026 14:44:17;14362;141330.28
26.05.2026 14:44:18;14362;141333.25
26.05.2026 14:44:19;14362;141337.86
26.05.2026 14:44:20;14362;141340.06
26.05.2026 14:44:21;14362;141343.28
26.05.2026 14:44:22;14362;141346.31
26.05.2026 14:44:23;14362;141348.47
26.05.2026 14:44:24;14362;141351.72
26.05.2026 14:44:25;14362;141356.17
26.05.2026 14:44:26;14362;141359.75
26.05.2026 14:44:27;14362;141359.75
26.05.2026 14:44:28;14362;141362.81
26.05.2026 14:44:29;14362;141365.72
26.05.2026 14:44:31;14362;141369.47
26.05.2026 14:44:31;14362;141372.97
26.05.2026 14:44:32;14362;141377.36
26.05.2026 14:44:33;14362;141378.69
26.05.2026 14:44:34;14362;141380.16
26.05.2026 14:44:35;14362;141383.95
26.05.2026 14:44:36;14362;141387.11
26.05.2026 14:44:37;14362;141389.7
26.05.2026 14:44:38;14362;141389.55
26.05.2026 14:44:39;14362;141394.02
26.05.2026 14:44:40;14362;141396.02
26.05.2026 14:44:41;14362;141398.72
26.05.2026 14:44:42;14362;141399.3
26.05.2026 14:44:43;14362;141401.55
26.05.2026 14:44:44;14362;141401.5
26.05.2026 14:44:45;14362;141404.28
26.05.2026 14:44:46;14362;141406.03
26.05.2026 14:44:47;14362;141407.95
26.05.2026 14:44:48;14362;141411.11
26.05.2026 14:44:49;14362;141413.23
26.05.2026 14:44:50;14362;141413.28
26.05.2026 14:44:51;14362;141416.7
26.05.2026 14:44:52;14362;141416.44
26.05.2026 14:44:53;14362;141417.86
26.05.2026 14:44:54;14362;141417.92
26.05.2026 14:44:55;14362;141418.17
26.05.2026 14:44:56;14362;141420.58
26.05.2026 14:44:57;14362;141421.23
26.05.2026 14:44:58;14362;140093.89
26.05.2026 14:44:59;14362;140140.94
26.05.2026 14:45:00;14362;140762.6
26.05.2026 14:45:01;14362;141038.69
26.05.2026 14:45:02;14362;141183.81
26.05.2026 14:45:03;14362;141274.05
