Title;
Time;Conc5_TC
26.05.2026 16:03:16;145004.52
26.05.2026 16:03:17;146902.3
26.05.2026 16:03:18;148034.23
26.05.2026 16:03:19;149206.23
26.05.2026 16:03:20;150216.02
26.05.2026 16:03:21;151193.23
26.05.2026 16:03:22;152159.11
26.05.2026 16:03:23;153270.89
26.05.2026 16:03:24;153672.72
26.05.2026 16:03:25;154397.31
26.05.2026 16:03:26;154785.8
26.05.2026 16:03:27;155491.52
26.05.2026 16:03:28;155520.7
26.05.2026 16:03:29;156012.6
26.05.2026 16:03:30;156359.16
26.05.2026 16:03:31;156483.53
26.05.2026 16:03:32;156575.88
26.05.2026 16:03:33;156937.45
26.05.2026 16:03:34;157036.69
26.05.2026 16:03:35;157344.42
26.05.2026 16:03:36;157527.36
26.05.2026 16:03:37;157658.14
26.05.2026 16:03:38;157786.27
26.05.2026 16:03:39;157851.02
26.05.2026 16:03:40;157964.81
26.05.2026 16:03:41;158034.6
26.05.2026 16:03:42;158142.62
26.05.2026 16:03:43;158244.73
26.05.2026 16:03:44;158284.69
26.05.2026 16:03:45;158335.83
26.05.2026 16:03:46;158391.45
26.05.2026 16:03:47;158476.45
26.05.2026 16:03:48;158584.47
26.05.2026 16:03:49;158633.27
26.05.2026 16:03:50;158675.8
26.05.2026 16:03:51;158728.28
26.05.2026 16:03:52;158787.61
26.05.2026 16:03:53;158857.92
26.05.2026 16:03:54;158883.6
26.05.2026 16:03:55;158913.33
26.05.2026 16:03:56;158950.95
26.05.2026 16:03:57;158954.53
26.05.2026 16:03:58;158990.84
26.05.2026 16:03:59;159024.27
26.05.2026 16:04:00;159033.48
26.05.2026 16:04:01;159049.31
26.05.2026 16:04:02;159079.6
26.05.2026 16:04:03;159096.62
26.05.2026 16:04:04;159105.64
26.05.2026 16:04:05;159139.39
26.05.2026 16:04:06;159162.52
26.05.2026 16:04:07;159168.23
26.05.2026 16:04:08;159194.08
26.05.2026 16:04:09;159209.72
26.05.2026 16:04:10;159218.3
26.05.2026 16:04:11;159230.94
26.05.2026 16:04:12;159240.98
26.05.2026 16:04:13;159254.28
26.05.2026 16:04:14;159261.8
26.05.2026 16:04:15;159274.9
26.05.2026 16:04:16;159282.03
26.05.2026 16:04:17;159289.69
26.05.2026 16:04:18;159299.02
26.05.2026 16:04:19;159306.47
26.05.2026 16:04:20;159314.88
26.05.2026 16:04:21;159322.16
26.05.2026 16:04:22;159325.27
26.05.2026 16:04:23;159329.9
26.05.2026 16:04:24;159333.52
26.05.2026 16:04:25;159337.23
26.05.2026 16:04:26;159339.97
26.05.2026 16:04:27;159344.25
26.05.2026 16:04:28;159347.23
26.05.2026 16:04:29;159355.77
26.05.2026 16:04:30;159362.14
26.05.2026 16:04:31;159366.28
26.05.2026 16:04:32;159365.34
26.05.2026 16:04:33;159368.55
26.05.2026 16:04:34;159368.55
26.05.2026 16:04:35;159371.64
26.05.2026 16:04:36;159377.05
26.05.2026 16:04:37;159380.19
26.05.2026 16:04:38;159384.22
26.05.2026 16:04:39;159385.78
26.05.2026 16:04:40;159388.88
26.05.2026 16:04:41;159393.92
26.05.2026 16:04:42;159398.52
26.05.2026 16:04:43;159400.44
26.05.2026 16:04:44;159403.97
26.05.2026 16:04:45;159406.52
26.05.2026 16:04:46;159412.98
26.05.2026 16:04:47;159415.45
26.05.2026 16:04:48;159420.95
26.05.2026 16:04:49;159424.98
26.05.2026 16:04:50;159426.05
26.05.2026 16:04:51;159425.12
26.05.2026 16:04:52;159428.25
26.05.2026 16:04:53;159428.97
26.05.2026 16:04:54;159433.56
26.05.2026 16:04:55;159433.61
26.05.2026 16:04:56;159435.78
26.05.2026 16:04:57;159439.11
26.05.2026 16:04:58;159444.45
26.05.2026 16:04:59;159439.7
26.05.2026 16:05:00;159403.83
26.05.2026 16:05:01;158818.81
26.05.2026 16:05:02;158923.9
26.05.2026 16:05:03;159247.5
26.05.2026 16:05:04;159346.83
26.05.2026 16:05:05;158396.73
26.05.2026 16:05:06;158405.56
26.05.2026 16:05:07;158973.89
26.05.2026 16:05:08;159147.06
26.05.2026 16:05:09;159295.8
26.05.2026 16:05:10;159355.39
26.05.2026 16:05:11;159404.4
26.05.2026 16:05:12;159420.75
26.05.2026 16:05:13;159439.31
26.05.2026 16:05:14;159454.22
26.05.2026 16:05:15;159460.3
26.05.2026 16:05:16;159463.1
26.05.2026 16:05:17;159464.3
26.05.2026 16:05:18;159467.88
26.05.2026 16:05:19;159475.31
26.05.2026 16:05:20;159478.78
26.05.2026 16:05:21;159481.11
26.05.2026 16:05:22;159481.66
26.05.2026 16:05:23;159485.14
26.05.2026 16:05:24;159487.52
26.05.2026 16:05:25;159493.28
26.05.2026 16:05:26;159494.36
26.05.2026 16:05:27;159497.03
26.05.2026 16:05:28;159498.61
26.05.2026 16:05:29;159503.92
26.05.2026 16:05:30;159510.27
26.05.2026 16:05:31;159510.45
26.05.2026 16:05:32;159510.56
